id,reviews,source
12,"Does not taste like butter, but haven’t come across a better vegan butter yet - though, honestly, this is the first vegan butter i’ve tried. what this does taste like is an oily mouthful of salt. in a way it tastes like the stuff they squirt on your popcorn in a theatre. which, personally, i find gross and always take a pass on. no thanks (shudder). but if you love that mouthful of salt and oil, and think of it as ‘butter’, then you might like this. personally, i think of butter as a rich creamy experience. and, the way they present it in the container, it looks like you might get that. but, you don’t. i’m a vegetarian, not a vegan, and will likely stick with butter from organic pasture raised cows. i’m good with those ethics and there’s nothing like the real deal, at least as far as i can tell. however, i bought the butter substitute because i’m making cornbread for a vegan thanksgiving, and i can’t imagine serving cornbread w/o butter. or something kind of like it. and this item had a lot of positive reviews, so i figured it would be good. i don’t think it’s good - at all. but giving it 3 stars because it’ll do, and i can see how other people who think of the theatre popcorn topping as butter might be similarly inclined to think of this that way. kind of a shame, really. anyway, if your thinking of baking with this , definitely don’t! it’s extremely salty and will ruin cookies, etc that rely on unsalted butter. (i know you already figured that out)",amazon
13,"Since childhood I have been hooked on to Indian made Amul butter. I have tried many different butter brands here in America but none of them come close of Amul butter. But since I am adopting veganism, I cannot indulge myself with real butter anymore. In comes Earth Balance. This spread's flavor and texture is so similar to Amul butter. I have tried few vegan butters but this is by far the best. I have used it on sandwiches, baking a vegan cake, several Indian dishes and it tastes amazing, highly recommended!",amazon
14,Highly recommend to anyone wanted to cut out butter or dairy. Very tasty.,amazon
15,What's not to like?? This gives a very nice flavor to just about everything you put it on. I also melt it for use in pancakes and cakes and use it to fry things.,amazon
16,"In my opinion, this is the best tasting margarine/plant based spread. I've happily used it for years. It spreads easily too.",amazon
17,Good taste but it is a little hard to spread.,amazon
18,"Favorite replacement for the butter I used to use, it not easy to spread on so I do recommend letting it sit out for a little before using. I usually sit it by my oven to let the heat travel to the container to get it to soften up before using.",amazon
19,"Excellent on vegetables, baked potatoes, toast, pancakes, and crackers. Taste buttery and light. Use for baking and frying.",amazon
20,Highly recommend it. Easy decision for me because it’s cruelty free and tastes great! Everyone in my family loves it.,amazon
21,This stuff is hard as a rock. The taste is nothing to be proud of too.,amazon
22,"100% vegan. I have Alpha-gal Syndrome and experience anaphylactic shock if I ingest or are exposed to mammal. 100% vegan and melts and spreads like ""real"" butter. I fooled my dairy-fan Daddy and my vegetarian butter loving son with this one!",amazon
23,So buttery and delicious! Much better than dairy butter.,amazon
24,"We purchased this when my husband was doing an elimination diet to find out the source of some issues he was having. We both love it, and keep buying it, even though dairy was determined not to be the issue.",amazon
25,I use the Earth Balance to make my peanut butter sandwiches. I spread a thick layer on each of the whole wheat bread pieces that I use. Then I put on a thick layer of peanut butter. Quite delicious!!!,amazon
26,If you miss butter you won’t anymore,amazon
27,I recently went vegan and the one thing I really missed was butter. I tried several replacements and they just didn't cut it. Then I found this. It has a great texture and flavor and has satisfied my butter craving. Works wonderfully on my steamed vegetables.,amazon
28,Earth Balance spread has a good taste like butter. For the last few years have been purchasing this brand from Whole foods and other stores that sell it. Price is good. Wish it came in larger tub.,amazon
29,"Love this. Plantbased, taste great and have been using it for many years.",amazon
30,Good overall - happy with the purchase,amazon
31,Yes. It does. Product is good. I just can’t have soy.,amazon
32,I loved the consistency the taste. Didn’t miss real butter when eating this.,amazon
33,"My one year old is allergic to everything (dairy, nuts, etc) so this product is a must for us. I even enjoy it, you can’t really tell it’s not real butter. Tastes great and melts perfectly",amazon
34,"Just like butter.....the one and only difference is texture its more closely ressembles margarine and because of that u can use less an will last u a lil longer. I gave it a try and very satisfied, i promise it wont throw u for a loop.",amazon
35,"This tastes just like country crock. Worth it. The only things that’s different is consistency, it’s a little firmer but barely.",amazon
36,Delicious. Tastes like real scrambled eggs. Easy to prepare. No messy egg shells and best of all no cholesterol.,amazon
37,"Only thing that could make it better is to bring back the 45 oz bulk earth balance! We love this in baking, popcorn, toast, making vegan caramel, you name it! Truly an amazing sub for butter!",amazon
38,"For this butter being dairy free and gluten free, I must say, taste like the real thing. Real damn close.",amazon
39,Not sure what real butter tastes like since I’m allergic to dairy but this is delicious. It’s the only vegan butter I use in cooking and my non-vegan husband likes it too!,amazon
40,"It’s butter. It’s vegan. It’s vegan butter. I’m happy. Also, it doesn’t contain a lot of water like other brands do, so it doesn’t burn off quick when using to fry food. I have used this brand for over 10 years and love it.",amazon
41,"For someone who loves butter this was a very nice surprise as I’m trying to give up dairy, tastes great to me and will continue to buy",amazon
42,Easy to spread. I actually like the taste better than regular butter,amazon
43,Taste is goid and melts in toast like real butter,amazon
44,My favorite vegan butter easy to spread and really good,amazon
45,A friend introduced me to this product and I was instantly hooked!! I never buttered so much bread before in my life lol.,amazon
46,Delicious buttery goodness,amazon
47,As a new vegan I miss butter. This makes up for it nicely. It has a real buttery taste.,amazon
48,"Great taste, flavor melts on vegetables and affordable",amazon
49,This is the standard for vegan butter. Perfect for any vegan baking or cooking needs,amazon
50,Great stuff I use it on bread and butter obviously I also sauté steaks in it comes out fabulous,amazon
51,Just as tasty as the real thing and healthier.,amazon
52,"Taste like regular butter. Not as soft but does the work. Have bought multiple times, it’s my go-to.",amazon
